date,rel_range
2025-11-27,0.00895216457165436
2025-11-28,0.01575952683985925
2025-12-01,0.007993615084363193
2025-12-02,0.013111113883309839
2025-12-03,0.02225472518881842
2025-12-04,0.022143671315684992
2025-12-05,0.026260768804473776
2025-12-08,0.017437452615617893
2025-12-09,0.018026933917945506
2025-12-10,0.024178259263818787
2025-12-11,0.017264796211778236
2025-12-12,0.012065903105285722
2025-12-15,0.013014494526328664
2025-12-16,0.006447737775653048
2025-12-17,0.015278450363196127
2025-12-18,0.018765016818837098
2025-12-19,0.02445258583965238
2025-12-22,0.024677831040278903
2025-12-23,0.01626881747363675
2025-12-24,0.019284227322022913
2025-12-25,0.014864916022057617
2025-12-26,0.0167235926628716
2025-12-29,0.012773493431133664
2025-12-30,0.01778791618363811
2026-01-05,0.019826108253735
2026-01-06,0.014096698404847285
2026-01-08,0.011337615882564083
2026-01-09,0.013207310966449674
2026-01-12,0.014397612831033196
2026-01-13,0.007817751773932529
2026-01-14,0.014580374313402632
2026-01-15,0.015466901585703498
2026-01-16,0.009189672318944572
2026-01-19,0.00791007493755204
2026-01-20,0.008965612902412268
2026-01-21,0.022475662068788368
2026-01-22,0.015324175252367572
2026-01-23,0.011637464285248339
2026-01-26,0.021292951033899606
2026-01-27,0.01722798933443786
2026-01-28,0.013931848644190123
2026-01-29,0.02029819513471096
2026-01-30,0.016244272437805792
2026-02-02,0.019155856678194465
2026-02-03,0.01047837156638221
2026-02-04,0.01752434655526959
2026-02-05,0.012738525012893244
2026-02-06,0.015612129324546952
2026-02-09,0.011963902902401766
2026-02-10,0.007370881167013381
2026-02-11,0.010227741137675186
2026-02-12,0.006976473780086043
2026-02-13,0.012956235269606885
2026-02-16,0.008151466222199073
2026-02-17,0.014178712220762155
2026-02-18,0.015859581504967513
2026-02-19,0.011258365043957486
2026-02-20,0.011105601085764994
2026-02-24,0.01151162332286424
2026-02-25,0.025340704551298533
